imdb_id;title;year;image;trailer_id;desc;imdb_rank;imdb_rate;rt_rank;rt_rate;mc_rank;mc_rate
tt0111161;The Shawshank Redemption;1994;the-shawshank-redemption.jpg;6hB3S9bIaco;Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.;1;9.3;0;80;0;91
tt0068646;The Godfather;1972;the-godfather.jpg;sY1S34973zA;The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.;2;9.2;28;98;2;100
tt0071562;The Godfather: Part II;1974;the-godfather-part-ii.jpg;9O1Iy9od7-A;The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.;3;9;0;97;0;90
tt0468569;The Dark Knight;2009;the-dark-knight.jpg;EXeTwQWrcwY;When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.;4;9;91;94;0;84
tt0050083;12 Angry Men;1957;12-angry-men.jpg;_13J_9B5jEk;A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.;5;8.9;81;100;28;96
tt0108052;Schindler's List;1993;schindler-s-list.jpg;mxphAlJID9U;In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.;6;8.9;0;97;89;94
tt0167260;The Lord of the Rings: The Return of the King;2003;the-lord-of-the-rings-the-return-of-the-king.jpg;mxphAlJID9U;Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.;7;8.9;72;94;0;93
tt0110912;Pulp Fiction;1994;pulp-fiction.jpg;s7EdQ4FqbhY;The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.;8;8.8;0;93;62;94
tt0060196;The Good, the Bad and the Ugly;1966;the-good-the-bad-and-the-ugly.jpg;WCN5JJY_wiA;A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.;9;8.8;0;97;0;90
tt0120737;The Lord of the Rings: The Fellowship of the Ring;2001;the-lord-of-the-rings-the-fellowship-of-the-ring.jpg;V75dMMIW2B4;A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.;10;8.8;0;91;0;92
